Category,Skills,Job_Roles
Data Science,"['Python/R programming', 'Machine learning algorithms', 'Data visualization', 'Statistics and probability', 'SQL and database management', 'Big data technologies (Hadoop, Spark)', 'Data cleaning and preprocessing']","['Data Analyst', 'Machine Learning Engineer', 'Data Engineer', 'Business Intelligence Analyst', 'Data Scientist']"
HR,"['Recruitment and talent acquisition', 'Employee relations', 'Performance management', 'Training and development', 'HR policies and compliance', 'Compensation and benefits administration', 'Conflict resolution']","['HR Manager', 'Talent Acquisition Specialist', 'Training and Development Manager', 'HR Business Partner', 'Compensation and Benefits Specialist']"
Advocate,"['Legal research and analysis', 'Courtroom litigation and advocacy', 'Legal writing and documentation', 'Case preparation and strategy', 'Negotiation and mediation skills', 'Knowledge of relevant laws and regulations']","['Litigation Lawyer', 'Corporate Counsel', 'Criminal Defense Attorney', 'Immigration Lawyer', 'Family Lawyer']"
Arts,"['Creativity and artistic vision', 'Fine arts techniques (painting, sculpting, etc.)', 'Graphic design or digital art skills', 'Art history and cultural knowledge', 'Portfolio development', 'Collaboration and communication skills']","['Fine Artist', 'Graphic Designer', 'Art Director', 'Art Teacher', 'Illustrator']"
Web Designing,"['HTML, CSS, JavaScript', 'User experience (UX) design', 'Responsive design principles', 'Web graphics and multimedia tools', 'Prototyping and wireframing', 'Knowledge of web development frameworks']","['Frontend Web Developer', 'UI/UX Designer', 'Web Designer', 'Graphic Designer', 'User Researcher']"
Mechanical Engineer,"['Engineering design and CAD software (e.g., AutoCAD)', 'Thermodynamics and heat transfer', 'Mechanics and materials science', 'Prototyping and testing', 'Problem-solving and analytical skills', 'Knowledge of manufacturing processes']","['Mechanical Design Engineer', 'Mechanical Project Manager', 'Manufacturing Engineer', 'Quality Engineer', 'Product Development Engineer']"
Sales,"['Communication and interpersonal skills', 'Product knowledge and understanding customer needs', 'Sales techniques and strategies', 'Negotiation and persuasion abilities', 'Customer relationship management (CRM) tools)', 'Market research and analysis']","['Sales Manager', 'Account Executive', 'Business Development Manager', 'Sales Representative', 'Key Account Manager']"
Health and fitness,"['Anatomy and physiology', 'Nutrition and dietetics', 'Exercise programming and coaching', 'Injury prevention and rehabilitation', 'Knowledge of various fitness activities (e.g., yoga, weightlifting)', 'Health assessment and monitoring']","['Personal Trainer', 'Nutritionist', 'Group Fitness Instructor', 'Physical Therapist', 'Wellness Coach']"
Civil Engineer,"['Structural analysis and design', 'Geotechnical engineering', 'Construction materials and methods', 'Project management', 'AutoCAD and civil engineering software', 'Environmental and sustainability principles']","['Structural Engineer', 'Construction Project Manager', 'Geotechnical Engineer', 'Transportation Engineer', 'Environmental Engineer']"
Java Developer,"['Java programming language', 'Object-oriented design and patterns', 'Java frameworks (e.g., Spring)', 'Web development (Servlets, JSP)', 'Database connectivity (JDBC)', 'Problem-solving and debugging skills']","['Java Developer', 'Software Engineer', 'Backend Developer', 'Web Developer', 'Full-stack Developer']"
Business Analyst,"['Business process modeling (BPMN, UML)', 'Requirement gathering and analysis', 'Data analysis and visualization', 'Project management methodologies', 'Documentation and reporting', 'Communication and presentation skills']","['Business Analyst', 'Product Owner', 'Systems Analyst', 'Process Analyst', 'Requirements Analyst']"
SAP Developer,"['SAP modules and functional areas', 'ABAP programming language', 'SAP development tools (e.g., SAP NetWeaver)', 'SAP implementation and customization', 'Integration with other systems', 'SAP security and authorization concepts']","['SAP Consultant', 'SAP ABAP Developer', 'SAP Functional Analyst', 'SAP Basis Administrator', 'SAP Project Manager']"
Automation Testing,"['Test automation frameworks (e.g., Selenium, Appium)', 'Scripting languages (e.g., Python, Java)', 'Test planning and strategy', 'Bug tracking and reporting tools', 'Continuous integration and delivery (CI/CD) pipelines', 'Software testing methodologies']","['Test Automation Engineer', 'Quality Assurance Analyst', 'Software Tester', 'QA Engineer', 'Test Lead']"
Electrical Engineering,"['Circuit design and analysis', 'Power systems and distribution', 'Electronics and embedded systems', 'Control systems and automation', 'Electrical testing and troubleshooting', 'Knowledge of electrical codes and safety standards']","['Electrical Design Engineer', 'Electrical Project Manager', 'Power Systems Engineer', 'Electronics Engineer', 'Control Systems Engineer']"
Operations Manager,"['Leadership and team management', 'Process optimization and efficiency', 'Supply chain and logistics management', 'Budgeting and financial analysis', 'Quality control and improvement', 'Decision-making and problem-solving skills']","['Operations Director', 'Supply Chain Manager', 'Logistics Manager', 'Process Improvement Manager', 'Production Manager']"
Python Developer,"['Python programming language', 'Web frameworks (e.g., Django, Flask)', 'Object-oriented design and patterns', 'RESTful APIs and web services', 'Database management (SQL, NoSQL)', 'Version control systems (e.g., Git)']","['Python Developer', 'Data Engineer', 'Software Engineer', 'Backend Developer', 'Full-stack Developer']"
